NPA,Bicycle Friendliness,Employment,Food and Nutrition Services,High Speed Internet Access,Home Ownership,Home Sales Price,Household Income,Housing Assistance – Development-Based,Housing Code Violations,Neighborhood Organizations,Nuisance Violations,Population - Youth,Proximity to a Grocery Store,Proximity to a Pharmacy,Proximity to Early Care and Education,Proximity to Financial Services,Proximity to Public Outdoor Recreation,Proximity to School-Age Care,Rental Costs,Single-Family Housing,Test Proficiency - Elementary School,Test Proficiency - High School,Test Proficiency - Middle School,Tree Canopy
101,2,94.3%,34.9%,57.3%,8.4%,"$342,375","$34,107",0%,1,1,7,35.2%,0%,0%,100%,0%,19.5%,100%,"$1,194",12.9%,27%,25%,9.2%,26%
102,1,90.3%,35.9%,82.7%,59.2%,"$458,319","$56,543",0%,0,1,21,22.4%,61.5%,8.4%,100%,0%,89.6%,100%,"$1,310",61.5%,26.8%,17.4%,32.7%,30.3%
103,2,95.5%,29.4%,80%,14%,"$327,236","$49,708",0%,1,1,33,20.3%,0%,0%,91.4%,0%,4.5%,91.4%,"$1,390",25.6%,13.5%,20%,24.1%,28.8%
105,2,94.4%,7.6%,87.5%,86.3%,"$416,477","$143,640",4.8%,0,3,1,21.5%,18.4%,1.3%,1%,8.4%,100%,1%,--,24.6%,47.8%,44.4%,26.1%,51.8%
106,2,97.5%,31.1%,61%,2.9%,"$291,460","$34,789",0%,2,1,28,28.5%,99%,44.3%,98.5%,100%,100%,100%,"$1,107",5.4%,18.1%,22.2%,8.2%,18.1%
107,2,97.8%,24.6%,90.2%,14.5%,"$323,456","$61,679",0%,1,0,4,29.7%,0%,0.7%,35.9%,0.2%,63.6%,35.9%,"$1,510",3.8%,38.6%,37.5%,29.6%,55.1%
108,--,96.4%,19.1%,91%,58.7%,"$574,056","$118,906",0%,--,2,8,26.8%,0%,0%,91.4%,0%,54%,95.8%,"$1,688",80.1%,52.6%,23.1%,63.6%,75.4%
109,1,93.3%,20.9%,95.4%,71.4%,"$172,925","$90,500",8.1%,0,4,2,24.6%,53.6%,39.4%,10.4%,48.5%,13.5%,--,"$1,412",53.5%,36.5%,36.4%,29.8%,64.7%
110,2,95.7%,29.8%,80.5%,53.4%,"$292,822","$77,995",0%,0,4,7,24.8%,56.1%,50.4%,0%,62.9%,18.1%,--,"$1,404",37.3%,34.5%,52.6%,30.2%,55.6%
111,1,96.7%,17.4%,94.4%,47.6%,"$255,318","$108,685",6%,0,6,4,28.5%,15.3%,20.4%,0%,0%,0%,--,"$1,803",62.2%,33.7%,35.8%,39.1%,48.4%
112,1,94.2%,20.4%,86.9%,74.1%,"$434,725","$87,292",0%,0,2,7,19.1%,0%,0%,48%,0%,31.4%,13.6%,"$1,169",90.9%,32.7%,31.6%,31.6%,63%
113,2,98.5%,28.8%,88.8%,76.2%,"$516,667","$76,962",0%,0,9,9,25.4%,0%,0%,52.1%,2.5%,36.8%,35.7%,"$1,436",95.7%,33%,36.5%,30.8%,36.9%
114,2,80.3%,56.1%,61.9%,4.4%,"$253,600","$32,321",48.4%,1,1,36,46.1%,0%,9.3%,89.8%,26.2%,95.7%,97.7%,"$1,046",40.6%,29.6%,0%,22.7%,46.6%
115,2,92.9%,3.8%,96.7%,70.8%,"$721,467","$165,232",0%,0,5,3,28.8%,26.5%,44.4%,52%,37.3%,23.8%,52%,"$2,007",73.3%,81%,93.5%,82.6%,48.3%
116,--,92.9%,28.5%,82%,60.4%,"$663,618","$99,495",6.2%,--,4,10,33.1%,64.2%,85.2%,72.5%,29%,25.9%,61.6%,"$1,431",37.7%,31%,23.4%,33.7%,34.7%
