NPA,2011,2014,2015,2016,2017,2018,2019,2021,2022,2023,2011 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2021 Raw,2022 Raw,2023 Raw
314,"0%","0%","0%","0%","0%","0%","0%","0%","5.1%","5.1%","0","0","0","0","0","0","0","0","48","48"
315,"44.7%","53.9%","54%","54.2%","51.7%","49.3%","39.4%","40.1%","54.1%","90.1%","143","213","214","215","208","490","530","547","745","1,239"
316,"68.3%","80.5%","80.5%","80.5%","80.5%","72.5%","77.9%","77.9%","77.9%","77.8%","990","1,167","1,167","1,167","1,167","1,051","1,116","1,116","1,116","1,116"
317,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
318,"22.4%","27.2%","27.2%","27.1%","34.5%","29.4%","34.1%","33.6%","34%","47.9%","155","188","188","188","266","227","263","259","262","468"
319,"7.2%","14.1%","14.1%","14.2%","14.2%","13.3%","9.3%","9.3%","11.8%","11.9%","73","153","153","153","153","143","151","151","196","200"
320,"51.2%","72.3%","70.4%","69.1%","69.2%","83.2%","78%","77.9%","78%","78.2%","243","344","329","308","308","376","351","349","352","351"
321,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
322,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
323,"41.9%","29.7%","29.7%","29.8%","23.6%","42.6%","29.8%","23.8%","23.7%","23.7%","373","265","265","265","210","381","266","212","211","211"
324,"0%","0.7%","0.7%","0.7%","0%","0%","1.2%","0%","0%","0%","0","4","4","4","0","0","7","0","0","0"
325,"61.5%","57.8%","57.4%","57.3%","57.3%","61.6%","57.1%","57.1%","56.9%","56.8%","688","647","647","646","646","696","653","653","653","655"
326,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
327,"38.8%","38%","38%","38%","39.5%","40.6%","49.9%","49.9%","58.1%","58%","243","238","238","238","247","254","379","379","539","539"
328,"60.7%","66.2%","66.2%","66.4%","66.3%","60.3%","67.3%","67.2%","67.1%","60.6%","232","253","253","253","252","228","251","252","251","330"
329,"5.5%","5.5%","5.5%","5.5%","5.6%","5.6%","5.6%","5.6%","5.6%","5.6%","42","42","42","42","43","43","43","43","43","43"
