NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
412,"1.3%","1.2%","1.6%","1.6%","33.7%","1.7%","3.7%","3","3","4","4","94","5","17"
413,"1%","1%","1%","1%","0.7%","0.7%","0.7%","12","12","12","12","9","9","8"
416,"100%","100%","100%","100%","100%","100%","100%","893","893","893","893","722","722","729"
417,"87.6%","87.4%","88.3%","66%","75.5%","68.4%","68.4%","570","570","575","523","691","657","672"
418,"40.1%","39.8%","81.4%","81.4%","81.4%","81.4%","81.9%","469","466","953","953","955","955","986"
419,"9.5%","9.5%","19.6%","19.6%","32.7%","17.9%","17.7%","90","90","187","187","343","188","186"
420,"33.3%","33.5%","66%","31.1%","64.3%","64.1%","64.9%","355","363","730","347","740","740","741"
421,"69.4%","64%","0%","0%","0%","0%","--","329","336","0","0","0","0","0"
422,"9.8%","9.6%","35.1%","40%","54.9%","54.6%","54.4%","57","56","286","353","749","748","759"
423,"1.6%","1.5%","1.5%","1.3%","0.9%","0.7%","0.7%","11","11","11","11","10","9","9"
424,"40.5%","40.6%","59.7%","40.1%","59.7%","59.6%","59.8%","314","314","463","312","464","460","471"
425,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
426,"55.1%","55.3%","55.3%","55.2%","55%","55.1%","55.1%","446","447","447","446","445","446","446"
428,"17.3%","16.6%","0.9%","0.9%","0.8%","0.8%","0.8%","87","85","5","5","5","5","5"
430,"87.9%","74.7%","73.4%","74.7%","63%","64.9%","67.4%","1,137","1,139","1,138","1,231","1,292","1,333","1,383"
431,"1.5%","1.5%","1.6%","1.4%","0%","1.3%","--","10","10","11","10","0","10","0"
432,"2.9%","2.9%","87.6%","2.8%","2.8%","2.8%","--","26","26","790","26","26","26","0"
433,"28.2%","28.2%","28.2%","77.5%","77.5%","77.5%","64.5%","91","91","91","252","252","252","209"
434,"15.7%","15.2%","7.7%","9.6%","15.8%","15.5%","23.2%","144","155","83","111","220","251","461"
435,"93.7%","93.9%","10.2%","9.8%","9.8%","9.8%","9.7%","207","215","24","24","24","24","24"
436,"36.6%","36.8%","41.3%","32.6%","32.5%","32.5%","32.5%","221","222","249","197","196","196","196"
437,"13.4%","12.2%","11.6%","11.8%","24.8%","30.9%","30.5%","133","140","146","167","676","1,025","1,029"
438,"62.4%","53.3%","50.2%","46.8%","37.7%","34.8%","15.5%","256","360","405","518","742","765","354"
442,"58.7%","58.8%","93.1%","57.5%","60.4%","54.3%","52.9%","420","422","676","432","495","445","433"
443,"35.7%","36.2%","36.2%","36.3%","35.7%","35.5%","54.4%","199","202","202","202","199","198","362"
444,"53.5%","53.3%","53.5%","53.7%","54.2%","54.2%","78.2%","431","430","432","440","449","449","649"
445,"87.9%","87.9%","92.8%","92.8%","93.6%","92.8%","28.7%","897","897","946","947","953","947","293"
446,"14.8%","14.3%","13.8%","13%","12.8%","11.7%","--","71","69","69","69","70","70","0"
447,"39.3%","39.7%","39.5%","38.6%","25.9%","27%","26.4%","344","361","365","390","415","452","446"
448,"48%","41.8%","40.6%","39.1%","38.4%","38.4%","40.6%","624","624","623","638","647","647","714"
449,"10.5%","10.7%","9.6%","9.6%","8.6%","8.6%","8.5%","97","100","90","90","90","90","90"
450,"20%","19.7%","19.5%","19.9%","19.8%","19.5%","17%","247","253","259","272","280","282","253"
451,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
452,"53.6%","53%","61.1%","53.8%","67.6%","72.4%","74%","278","321","368","325","492","764","810"
453,"92.2%","92%","92%","92%","92.5%","92.9%","92.8%","847","844","844","843","867","935","934"
454,"18.6%","18.3%","18.5%","18.5%","17.4%","26.7%","13.4%","101","99","100","100","94","145","75"
455,"14.1%","14.1%","11.8%","10.6%","11.7%","11.7%","11.4%","106","106","89","90","89","91","91"
