NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023
204,"3.5%","3.1%","2.8%","2.9%","1.9%","1.7%","2.9%","4%","3.8%","5.4%","5.3%"
205,"1.8%","1.2%","0.3%","0.3%","0.2%","0.1%","0.2%","0.4%","0.4%","0.8%","0.6%"
206,"2.5%","2.4%","1.7%","1.7%","2.1%","2.8%","2.5%","2.4%","2.8%","3.9%","3.4%"
207,"7.5%","5.1%","5.8%","6.1%","7.2%","5.6%","8.5%","13.6%","20.1%","24.9%","19.9%"
208,"0.8%","0.6%","0.5%","0.5%","0.3%","0.3%","0.1%","0.3%","0.2%","0.3%","0%"
209,"17.4%","14.9%","16.7%","13.8%","11.6%","10.7%","10.6%","13.1%","16%","21.7%","22%"
210,"8.7%","6.4%","5.9%","5.6%","4.2%","3.3%","4.2%","5.9%","7.6%","11.4%","10.7%"
211,"15.9%","14.9%","17.9%","18.2%","16.2%","16.1%","11.3%","15.6%","17.9%","23%","20%"
212,"32.4%","27.3%","28.7%","30.6%","26.8%","23.6%","17.8%","22%","27.2%","33.4%","32.3%"
213,"0.7%","1.1%","1%","1.1%","1.1%","1.4%","1.1%","1.4%","1.8%","1.3%","1.1%"
215,"0.5%","0.2%","0.6%","0.6%","0.5%","0.7%","0.5%","0.4%","0.3%","0.3%","0.8%"
216,"3.6%","1.2%","0.9%","1.1%","0.6%","0%","1.1%","1.9%","2.6%","4%","4.5%"
217,"0.2%","0.2%","0.4%","0.4%","0.2%","0.8%","0.1%","0.1%","0.3%","0.4%","0.4%"
218,"9.9%","10.6%","9.5%","12.2%","9.4%","8.2%","8.5%","10.9%","13%","17.5%","15.7%"
219,"10.4%","8.8%","11.7%","9.5%","7.3%","4.5%","7.1%","10%","12.8%","16.4%","14.2%"
220,"19.6%","21%","21%","21.6%","18.9%","16%","9.5%","13.2%","16.6%","21.1%","20.2%"
221,"14.5%","12.9%","16.5%","14.8%","13.5%","12.4%","13.4%","19.1%","24.5%","30.3%","28.6%"
222,"2.4%","1.6%","1.3%","1.3%","0.9%","0.8%","1.1%","0.8%","0.9%","1.1%","1.1%"
223,"29.5%","29.4%","31.2%","33.3%","28.4%","26%","13.9%","17.1%","19.1%","23.4%","20.5%"
224,"5.6%","5.2%","4.2%","4.2%","4.2%","4%","5%","7.3%","9.3%","12%","10.6%"
225,"12.1%","9.3%","8.1%","8.2%","9%","7.8%","6.3%","8.2%","13.2%","19.9%","16.3%"
226,"15.9%","8%","5.1%","5.2%","3.7%","3.5%","2.1%","2.8%","4.4%","7.7%","9.3%"
227,"17%","16.3%","17.3%","17.9%","14.1%","13.3%","11%","14.1%","17.7%","24.6%","21.7%"
228,"13.4%","6.5%","17.2%","17.3%","16.9%","13%","7.9%","11.1%","14.6%","21.1%","21.8%"
229,"25.1%","32.4%","45.1%","41.8%","33.8%","21.7%","15.2%","21.8%","25.2%","32.2%","31.4%"
230,"21%","15.8%","13.4%","13.6%","11.8%","10.9%","9.2%","12.6%","15.9%","18.7%","16.6%"
231,"9.1%","8.5%","6.9%","7.2%","5.5%","6.6%","8.2%","10.3%","14.8%","20.9%","20.2%"
232,"15.4%","13.6%","14.4%","14.7%","10.5%","10.1%","10.3%","12.6%","14.6%","24.6%","23%"
233,"3.3%","2.6%","2.7%","3%","2.8%","3.1%","2%","5.4%","7.2%","10.9%","9.1%"
234,"20%","31.9%","43.4%","44.9%","37.2%","30.8%","16.7%","20.4%","24.1%","31.4%","32.5%"
235,"3.5%","3.2%","2.2%","2.3%","2.1%","1.8%","0.6%","1.8%","2.2%","3.4%","3.5%"
236,"0.7%","1.1%","0.8%","0.8%","0.3%","0.3%","0.1%","0.2%","0.3%","0.7%","0.1%"
237,"28.4%","24.4%","32.1%","32.5%","23.8%","21.4%","16.1%","19.8%","23.1%","30%","29.6%"
238,"26.1%","25.1%","30.8%","32.2%","24.1%","20.7%","18.7%","22.5%","26.1%","33.3%","30.4%"
240,"18.7%","15.6%","17.4%","18%","12.6%","13.5%","9.6%","12.2%","13.9%","24.1%","25.7%"
241,"0.1%","0.5%","0.6%","0.6%","0.6%","0.3%","0.1%","0.2%","0.4%","0.5%","0.1%"
242,"17.4%","17.9%","17.2%","17%","15.3%","14.2%","12.5%","16.7%","20.6%","24.6%","22%"
243,"3.8%","9.5%","14.5%","14.5%","--","3.2%","14.6%","18.1%","22.5%","47%","43.1%"
244,"15.6%","16.1%","16.4%","17.1%","12.7%","10.8%","10.5%","14.3%","15.5%","19.9%","18.6%"
245,"35.1%","30.7%","31.6%","34.3%","29.7%","28.1%","18.7%","25.9%","31.2%","36.5%","36.7%"
246,"28%","27.1%","25.9%","26.8%","19.9%","17.8%","14.3%","20.6%","24.1%","30.4%","27.4%"
247,"35.2%","36%","40.2%","41.1%","30.4%","25.8%","22.9%","29.2%","33%","41.2%","34.2%"
248,"24.9%","25.3%","25.5%","26.2%","23.3%","23.7%","18.1%","23.6%","32.2%","39.8%","30.6%"
