NPA,2011,2013,2015,2016,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
302,"0","1","0","0","0","0","0","0","0","2","8","2","5","3","1","1","5","6"
303,"0","0","0","0","0","0","1","1","1","3","0","2","2","3","3","6","6","6"
304,"3","4","4","5","2","1","1","2","3","13","17","16","20","8","2","3","8","13"
305,"0","1","1","1","0","0","0","0","1","0","4","3","4","2","2","2","2","3"
306,"3","2","3","3","1","2","0","2","3","13","8","11","11","3","8","2","9","14"
307,"0","0","1","0","0","1","0","0","0","2","2","6","5","1","18","4","3","3"
308,"0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","3","2","2"
309,"0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","1","1"
310,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0"
311,"4","6","6","4","2","2","2","2","3","24","34","36","24","11","9","9","12","16"
312,"17","18","6","5","1","1","1","1","1","109","112","35","31","7","7","5","5","9"
313,"0","0","0","0","0","1","0","0","1","2","1","2","2","0","4","2","0","6"
314,"2","4","6","2","1","1","1","1","1","21","39","59","23","6","5","5","6","9"
315,"0","1","1","1","0","0","0","0","1","1","2","4","3","2","1","0","3","7"
316,"1","1","2","2","1","2","1","1","2","20","16","24","25","12","24","10","12","23"
317,"1","1","5","3","2","1","1","1","2","4","4","14","9","5","3","4","3","7"
318,"0","0","0","0","0","0","0","0","0","1","3","2","2","2","1","1","2","2"
319,"0","1","1","1","0","0","0","0","0","5","8","9","8","1","2","3","1","3"
320,"0","1","0","0","0","0","0","0","0","1","3","2","2","0","0","0","2","2"
321,"2","4","5","4","2","1","2","1","3","10","19","24","21","8","7","8","7","13"
322,"1","1","1","1","0","0","0","0","0","5","5","6","5","1","2","0","1","2"
323,"1","1","1","1","0","0","0","0","0","7","11","12","7","4","4","2","3","3"
324,"5","2","1","1","0","0","0","0","0","29","9","6","4","1","2","1","0","0"
325,"1","1","1","1","1","1","1","1","1","7","11","15","16","7","7","6","6","13"
326,"4","13","14","11","5","2","0","2","2","18","54","56","45","22","10","2","8","9"
327,"1","3","3","4","1","0","1","0","1","8","16","17","22","4","3","6","4","7"
328,"1","1","1","1","0","0","0","0","0","2","3","2","2","1","1","0","0","1"
329,"0","0","1","0","0","0","0","0","0","1","1","5","3","3","1","2","3","3"
330,"0","0","1","2","0","1","0","0","0","3","1","7","14","3","4","3","0","3"
331,"0","1","0","0","0","0","0","0","0","1","5","2","1","0","2","1","1","3"
332,"0","0","1","0","0","0","0","0","0","1","3","4","3","0","1","1","1","1"
333,"1","1","1","1","1","0","0","0","0","8","8","13","12","9","5","1","4","5"
334,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
335,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
336,"0","0","0","0","0","0","0","0","1","0","2","1","7","6","5","7","12","24"
337,"0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0"
338,"1","1","3","2","1","1","0","0","0","6","12","37","21","14","9","0","2","2"
339,"0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
343,"0","1","1","1","1","0","0","0","0","4","8","6","8","10","0","1","3","4"
344,"2","5","2","2","0","1","0","1","1","16","36","17","15","2","8","3","6","11"
345,"1","1","0","0","1","1","0","0","0","2","2","0","0","2","2","0","1","1"
346,"1","2","2","2","1","1","2","3","4","15","19","26","21","12","14","20","29","40"
